number,value,state,duration_min,w0_raw,w0,w1_raw,w1,w2_raw,w2,w3_raw,w3,w4_raw,w4,w5_raw,w5,w6_raw,w6
21,0.8315813332082401,COMPLETE,44.69564841666667,1.6917987032205573,0.2184002697467804,0.5173247150633411,0.06678327172994614,1.7294255679712625,0.2232576459646225,14.926356073571696,1.9268959760665894,24.818715033332865,3.203935384750366,9.615157608414718,1.2412546873092651,0.9254712493970583,0.11947234719991684
22,0.7879387369633347,COMPLETE,53.56443181666667,2.3613085270784095,0.23106670379638672,0.13532382795155912,0.013242161832749844,0.7607360171872183,0.07444209605455399,28.89256635916581,2.8272926807403564,28.96148761549685,2.8340368270874023,10.048665174168722,0.9833157658576965,0.3740604321537302,0.03660381957888603
23,0.8028621478990804,COMPLETE,71.19701436666666,2.344386266232665,0.400027871131897,0.31791323534405064,0.054246243089437485,4.520927754879145,0.7714160084724426,2.874201170813706,0.4904313385486603,18.460176224652155,3.1499011516571045,11.753547438975223,2.0055339336395264,0.7527506147825581,0.12844352424144745
24,0.8093360346059332,COMPLETE,47.621637533333335,6.234512569825515,0.5866555571556091,3.8463990477888466,0.3619386851787567,0.3873367062809126,0.03644763305783272,25.649309529842686,2.4135501384735107,18.901718768472637,1.7786149978637695,17.07829095041121,1.6070340871810913,2.2929184508639917,0.21575917303562164
25,0.6681403175940712,PRUNED,12.194665250000002,20.321783270046513,1.957524061203003,1.0506934506831807,0.10120950639247894,2.0127502523110246,0.19388096034526825,14.492650861479735,1.3960248231887817,6.999049183336257,0.6741932034492493,27.398792800637676,2.6392269134521484,0.3938749511446051,0.037940554320812225
26,0.7992569852476944,COMPLETE,26.952870183333335,1.369279395741819,0.2225622832775116,1.1328821895024308,0.18413835763931274,0.2626817252147969,0.04269621521234512,4.759064429486108,0.7735369801521301,19.54357061443136,3.1766066551208496,15.693170968098803,2.5507636070251465,0.3057458534729122,0.04969584196805954
27,0.8397082122054916,COMPLETE,68.2752199,0.49671474343298794,0.10657668858766556,0.5493999334108426,0.11788098514080048,1.6981914754658693,0.36436936259269714,13.555216370777023,2.9084503650665283,5.705637694774089,1.224219799041748,9.33850450927386,2.0036990642547607,1.2807562329466575,0.274803102016449
28,0.7172951017547563,PRUNED,12.213829133333332,0.4550600643493024,0.059794679284095764,1.62549966610676,0.21358990669250488,1.119384264063061,0.14708657562732697,19.34942167753981,2.5425050258636475,3.182962843123892,0.4182398319244385,26.693417446538433,3.507502317428589,0.8468965377063943,0.11128180474042892
29,0.7063788491275923,PRUNED,12.186046150000001,0.1826075078751165,0.046473465859889984,0.8049019657506953,0.20484691858291626,3.707444731031389,0.9435417652130127,16.560565517466237,4.214651107788086,4.176711142527043,1.06296968460083,1.3797946806476395,0.35115665197372437,0.6929705712534148,0.17636045813560486
30,0.7270263555748784,PRUNED,15.1359109,0.20921989579156433,0.03784765675663948,0.21391311145452635,0.03869665041565895,10.152723074550734,1.8366167545318604,2.642468375948179,0.47801971435546875,6.501697147050933,1.1761499643325806,13.938614588437577,2.5214803218841553,5.03700359401373,0.911188542842865
31,0.8260605355292646,COMPLETE,35.79040341666666,0.9333311008111462,0.14892728626728058,0.4625571518046923,0.07380808144807816,2.7338486893968703,0.4362274408340454,18.749896977827344,2.991833448410034,14.88933228710385,2.375821113586426,4.84630538432718,0.7733023166656494,1.2539043365142324,0.20007966458797455
32,0.8057335416353085,COMPLETE,71.01128184999999,3.114068030511164,0.5104883313179016,0.6307043133827936,0.10339118540287018,5.880105466366748,0.9639241695404053,16.01903847516022,2.6259968280792236,13.930015078163354,2.283543586730957,1.088068592693692,0.1783667951822281,2.0392186146594775,0.3342885971069336
33,0.7971108991352418,COMPLETE,32.80087575,0.8643438303105997,0.2546996772289276,0.235071525027514,0.06926947832107544,1.6828369154780827,0.495888352394104,11.922994521348274,3.513396978378296,1.9790735209661852,0.583181619644165,6.51551031868274,1.9199516773223877,0.5552319305311343,0.16361244022846222
34,0.8241663280942874,COMPLETE,35.75385485,0.6479587860783294,0.08046990633010864,0.7625880875755683,0.09470570087432861,2.202137832691243,0.27348318696022034,21.29833115563286,2.645036458969116,12.806660570306805,1.5904572010040283,17.321723973695416,2.151182174682617,1.325914724681802,0.16466514766216278
35,0.7987170979885249,COMPLETE,35.689698783333334,0.6461334818688393,0.06404899060726166,0.41493790291182087,0.04113136604428291,2.494475046526005,0.24726873636245728,24.490347696545722,2.4276437759399414,25.21673631282149,2.499648332595825,14.013546813099147,1.3891147375106812,3.3406248508206797,0.33114463090896606
36,0.822748227935065,COMPLETE,35.727025966666666,0.4102828503229931,0.07528769224882126,0.669356396818335,0.12282819300889969,2.103189773226069,0.385939359664917,14.91440395881398,2.7368218898773193,10.942754042711185,2.008016347885132,7.943534681168553,1.4576539993286133,1.163214069516372,0.2134520262479782
37,0.5140519576198265,PRUNED,12.1719721,4.284519784129107,0.5589953660964966,13.176429142454193,1.7191104888916016,20.78458588141572,2.7117362022399902,7.378265769110387,0.9626321792602539,0.16515708420482125,0.021547816693782806,6.275506700430286,0.8187566995620728,1.5882831837399516,0.207221120595932
38,0.8000064984925106,COMPLETE,68.05204265,0.7126706627872146,0.10221899300813675,1.333445297600421,0.19125725328922272,1.6818294703565964,0.24122630059719086,16.536357645195498,2.3718245029449463,25.39680531057403,3.642686367034912,1.3411079804403419,0.19235631823539734,1.801773705020768,0.25843000411987305
39,0.7529249401683743,PRUNED,12.184567833333334,0.835518004247905,0.14959175884723663,0.22627796562077857,0.04051297530531883,4.261456782363441,0.7629744410514832,6.897864188871867,1.2349987030029297,24.715965397512942,4.425164699554443,1.7905216142962177,0.3205763101577759,0.369646619143592,0.06618180125951767
40,0.6382519452535902,PRUNED,12.160276649999998,0.4855971408033907,0.2809714376926422,0.27018108870395585,0.15632952749729156,8.9756081076446,5.19337797164917,0.11311652312489903,0.06545037031173706,0.7973734540970551,0.4613683819770813,1.294763415371369,0.7491632699966431,0.16131562839984134,0.09333886951208115
41,0.8020213881284132,COMPLETE,38.68186268333333,0.12710637620162996,0.022283216938376427,0.18695552679118504,0.03277546539902687,1.4596891882528689,0.25590038299560547,10.898069007164016,1.910557508468628,6.5633394624351835,1.1506291627883911,19.991309639607483,3.5047075748443604,0.7024418471598348,0.1231461763381958
42,0.7117542659338666,PRUNED,12.226115333333333,0.22438862144194668,0.0773187130689621,3.3601051144059086,1.1578083038330078,1.5949743797541638,0.5495883226394653,1.6992673221144357,0.5855250358581543,6.68970535809047,2.305105447769165,6.241776884440026,2.1507604122161865,0.5046605575424283,0.17389342188835144
43,0.7912894591864018,COMPLETE,26.925577283333332,0.48875580530075563,0.0979963019490242,0.7906135784799004,0.15851926803588867,7.803932467097132,1.564700722694397,10.748984364350719,2.1551883220672607,4.299779702123328,0.8621126413345337,7.76004180428051,1.5559005737304688,3.020336608657934,0.6055822372436523
44,0.8189545973841351,COMPLETE,71.2192573,1.3329151414003833,0.25639596581459045,0.5684660353114195,0.1093485876917839,1.5676296020001683,0.30154499411582947,22.03314009371733,4.2382354736328125,3.025205307625109,0.581920325756073,4.724374649076175,0.9087679982185364,3.1388804454098578,0.6037865877151489
45,0.7261105228508565,PRUNED,12.212690133333332,0.2224298747869153,0.029330318793654442,2.569817821008499,0.33886444568634033,3.5526528599313876,0.4684642553329468,23.669304656680996,3.121110677719116,17.128807117277855,2.258659601211548,5.314807726261514,0.7008276581764221,0.6274899406256986,0.082742840051651
46,0.8125244599554794,COMPLETE,71.28188206666667,1.8454826005880745,0.24202807247638702,0.5557062631371408,0.07287877798080444,1.8367987028635937,0.24088920652866364,27.82916673672893,3.6496899127960205,17.083541258460354,2.2404420375823975,3.344558500750848,0.4386261999607086,0.8802844329269385,0.11544597893953323
47,0.7167678475051722,PRUNED,12.249110633333334,20.008438443847968,2.111445665359497,0.4663136031483214,0.04920903220772743,1.779464102686596,0.1877828687429428,2.4830740142320944,0.26203325390815735,10.241437297643886,1.0807559490203857,9.476434538555473,1.0000269412994385,21.878085566343756,2.3087456226348877
48,0.8382821205905632,COMPLETE,56.528204466666665,0.3945432703560018,0.13120613992214203,0.9204513864122558,0.30609792470932007,0.4919383439768989,0.1635950654745102,4.771966452279269,1.586926817893982,7.529946195153585,2.504098415374756,5.694252835951767,1.8936350345611572,1.2462424284956344,0.4144403636455536
49,0.4184334388844324,PRUNED,12.251914283333333,8.506654358868282,1.5369254350662231,2.8510433569162266,0.5151074528694153,18.431083599333537,3.3300046920776367,0.31280476737889307,0.056515470147132874,0.4234054030124851,0.07649805396795273,0.14111967998738353,0.025496557354927063,8.077853111150054,1.4594523906707764
50,0.833629132356862,COMPLETE,53.62209938333333,0.3866032076931123,0.10904117673635483,0.8014231079052615,0.22604085505008698,0.7349921738331576,0.20730404555797577,1.383089776377482,0.39009955525398254,13.813583876883897,3.8961122035980225,6.639344041929996,1.8726226091384888,1.0593162191051195,0.2987794578075409
51,0.7574943561691327,PRUNED,12.270306799999998,0.41952537401872536,0.11159344017505646,0.5483336285683748,0.1458563506603241,1.8884049132441947,0.5023143291473389,0.6404310424265266,0.1703541874885559,8.003194999765274,2.1288437843322754,13.077949657037452,3.478724956512451,1.7380234759042874,0.4623129665851593
52,0.7980559445393416,COMPLETE,71.5342492,0.20798910569308468,0.11889906972646713,1.2791487071186656,0.7312382459640503,0.11869809876649264,0.06785496324300766,2.0317734117240076,1.161483645439148,3.2308281038732454,1.8469353914260864,3.423606758484245,1.9571393728256226,1.9529957636850277,1.1164497137069702
53,0.8382074734507411,COMPLETE,71.50006818333333,1.0238542740056524,0.32457631826400757,0.7096362741973083,0.22496476769447327,0.15198602770578545,0.04818172752857208,1.1907019185946843,0.37746942043304443,15.793713808754523,5.006831169128418,2.339133452275981,0.7415384650230408,0.8720045313858373,0.27643778920173645
54,0.7572984649520297,PRUNED,12.271689983333333,1.0689530296910976,0.5722460746765137,1.0561116861808755,0.5653716325759888,0.17124441942138083,0.09167281538248062,2.988201194080843,1.5996832847595215,6.14979157349115,3.2921876907348633,1.2137061192934853,0.6497371792793274,0.42796046046301917,0.22910143435001373
55,0.7879146637262749,COMPLETE,47.83010173333333,0.10557193345589763,0.016976524144411087,0.5092559506661047,0.08189104497432709,0.373596621139388,0.060076307505369186,2.4378628979720993,0.39202120900154114,25.905782038376987,4.1657867431640625,10.331894608833105,1.6614232063293457,3.8669478180521475,0.621825635433197
56,0.761434155160322,PRUNED,12.272880583333334,0.7148985077046375,0.23312042653560638,0.7178819221432129,0.23409327864646912,0.4890853440345962,0.15948526561260223,0.9154842251770231,0.2985292077064514,15.545813431198413,5.069316387176514,2.8834204930957794,0.9402512311935425,0.1999586282934474,0.06520427763462067
57,0.7422872621923368,PRUNED,12.27624675,3.0276491498058955,0.26501595973968506,0.5110740131784813,0.04473529011011124,11.552500685787598,1.0112125873565674,27.951598476708522,2.446657180786133,21.821408087575815,1.9100698232650757,14.910253696476287,1.305123209953308,0.1963454149761546,0.017186492681503296
58,0.7554187478681782,PRUNED,12.242690033333334,0.5814861724910741,0.1643827259540558,1.968544418464497,0.5564959645271301,0.5229194695878913,0.14782626926898956,0.6409754083134477,0.18119998276233673,15.274232546743322,4.317935943603516,4.611323003868103,1.3035938739776611,1.1622640164072329,0.32856521010398865
59,0.8463304757361246,COMPLETE,71.39823041666666,0.6581047128250365,0.3485212028026581,0.3402403449139341,0.18018558621406555,0.20343783507673832,0.10773725807666779,1.5696092757007185,0.8312386870384216,4.048243580680749,2.1438817977905273,5.7084092327128335,3.0230777263641357,0.6898965029646703,0.3653576076030731
60,0.8414230386461369,COMPLETE,71.48904341666666,0.4502275299435007,0.19535106420516968,0.1951464820193017,0.08467290550470352,0.14176355376587393,0.0615103654563427,2.956601440116135,1.2828518152236938,3.6139319193557156,1.5680636167526245,8.470800754135361,3.6754302978515625,0.30449699082034604,0.13211944699287415
61,0.762827149894436,PRUNED,12.199993016666667,0.705535938670156,0.4444977343082428,0.30280113637118705,0.1907690316438675,0.17912516632583167,0.11285141110420227,2.15446131270575,1.3573414087295532,1.0074321725975508,0.6346966624259949,6.636834003221715,4.181300163269043,0.1246687564753435,0.07854309678077698
62,0.8312004798412204,COMPLETE,38.866770933333335,0.2608541397378626,0.11018833518028259,0.13460998712440805,0.056861087679862976,0.29425886239594606,0.12429895251989365,1.43811483209696,0.6074792742729187,3.491052194014475,1.4746679067611694,10.497409802480732,4.434248924255371,0.4551373258447464,0.19225619733333588
63,0.8083663070395666,COMPLETE,27.017749466666665,0.2744471566177845,0.09942521899938583,0.19184218220202812,0.06949954479932785,0.10998316160478237,0.039844103157520294,2.122306350950576,0.7688575983047485,13.400434596791108,4.8546366691589355,2.479588891742626,0.8982920050621033,0.7437568348708138,0.26944416761398315
64,0.7482797663654184,PRUNED,12.194924033333333,1.7572647947176718,0.5025342106819153,3.0140059481759756,0.8619310259819031,0.9698594674180913,0.27735579013824463,2.5711473936429368,0.7352844476699829,3.204584656300061,0.9164317846298218,6.5139747949510864,1.86283540725708,6.44680579118174,1.843626856803894
